Country,City,CO AQI Value
Russian Federation,Praskoveya,2
Italy,Priolo Gargallo,1
Poland,Przasnysz,1
United States of America,Punta Gorda,1
Belgium,Puurs,0
Russian Federation,Pyatigorsk,1
China,Qinzhou,2
Netherlands,Raalte,1
France,Raismes,1
Italy,Ramacca,1
United States of America,Phoenix,1
Poland,Piaseczno,2
Colombia,Plato,1
Romania,Poiana Mare,1
Russian Federation,Polevskoy,0
United States of America,Pontiac,2
Indonesia,Pontianak,1
Brazil,Porecatu,1
Finland,Pori,0
South Africa,Port Elizabeth,3
United States of America,Port Neches,1
Brazil,Pouso Alegre,2
Russian Federation,Dalnegorsk,0
Haiti,Delmas,2
United States of America,Deming,1
United Kingdom of Great Britain and Northern Ireland,Denton,1
United Kingdom of Great Britain and Northern Ireland,Denton,0
United States of America,Destin,0
India,Dharmapuri,2
Philippines,Dipolog,1
United States of America,Green Valley,1
